Publication,Year,Month,Last_Name,Paper_Title,Process,Node,f@NFmin,NFmin,fc,NF,Gain,P1dB,I/O_P1dB,IIP3,3dB_BW,Power,Comment
TMTT,2024,2,Peng,A 0.32×0.12 mm2 Cryogenic BiCMOS 0.1–8.8 GHz Low Noise Amplifier Achieving 4 K Noise Temperature for SNWD Readout,SiGe BiCMOS,130,6,0.8,6,0.8,36,-5,O,*,8.7,8.2,"T:3,6K, *OIP3=4dBm"
TMTT,2024,2,Chaubey,Ultracompact Inductorless Noise-Canceling LNAs in 40-nm CMOS Achieving 2.2-K Noise Temperature for Qubit Readout,CMOS,40,"2/1,8/0,5/1,4","0,63/0,033/1,16/0,29","0,8/1/1,3/1,2","0,95/0,35/1,5/0,35","25,6/29/27/30,2",-18/-/-27/-,I,"-6/-/-20,4/-","2,69/2,99/3,75/3,98","43,4/19,4/22,6/10,8",T:300K/4K/300K/4K
TMTT,2024,1,Kim,Ultralow Noise Figure and Broadband CMOS LNA With Three-Winding Transformer and Large Transistor,CMOS,65,36,2.2,38,2.5,19.2,,,-7.6,20,22,
TMTT,2024,1,Hu,A 16-Channel 3.1–25.5-GHz Phased-Array Receive Beamformer IC With Two Simultaneous Beams and 2.0–2.4-dB NF for C/X/Ku/Ka-Band SATCOM,SiGe BiCMOS,90,6,1.8,14,2.7,26.6,-48.5,I,,22.4,112.5,System
JSSC,2024,1,Zhao,A Band-Shifting Millimeter-Wave T/R Front-End Using Inductance-Mutation Transformer Technique for Multiband Phased-Array Transceivers,CMOS,28,"25,3/37","5,1/5,8","25,3/37","5,1/5,8","21,3/18,3",,,"-10,8/-10,1","11,4/13,6","26,2/19,8",
TCAS II,2024,1,Sun,A 2.77-dB NF K-Band Four-Element Dual-Beam Phased-Array Receiver With 39-dB Tx-Band Rejection for SATCOM Applications,CMOS SOI,65,19.5,2.42,19.5,2.42,15.5,,,,3.5,482.4,Receiver Frontend
TMTT,2024,1,Khyalia,A 22–33-GHz Gm-Boosting Low-Power Noise-Canceling LNA in 40-nm CMOS Process,CMOS,40,23.3,2.8,28,3.5,12.3,-7.7,I,2,11.8,8.5,
JSSC,2024,1,Ke,A 52–73-GHz LNA With Tri-Coupled Transformer for Gm Boosting and Enhanced Noise Canceling,CMOS,40,68.5,3.78,63,4,22.4,-11,I,,22.1,26,
MWTL,2024,1,Gurol,Highly Linear Low-Noise Amplifier With Novel Two-Mode Feedback Control Method,CMOS SOI,130,24,2.75,25,3.07,13.2,-10,I,6,6,32.67,
MWTL,2024,1,Baek,A Low-Power High-IP1dB Low-Noise Amplifier Using Large-Transistor and Class-AB Mode,CMOS,65,13,1.94,13,1.94,17.6,-7.8,I,,5,10,
TCAS II,2024,1,Wang,A 1–27 GHz SiGe Low Noise Amplifier With 27-dB Peak Gain and 2.85±1.45 dB NF,SiGe BiCMOS,130,4.2,1.4,14,2.2,26,-18,I ,-9,26,85,
APMC,2023,12,Lai,A CMOS Low Noise Amplifier with Gm-boosting Technique for Multi-band 5G Systems,CMOS,90,35,3.2,,,,,,,,,
APMC,2023,12,Huang,A 36-42 GHz 0.18-μm CMOS Amplifier Using Cascode-Cascade Matching Topology for Millimeter-wave Broadband Applications,CMOS,180,39,7.3,,,,,,,,,
APMC,2023,12,Mollaalipouramir,"Low Power and High Linear, Low Noise Amplifier Designed in 22nm FDSOI Technology for 5G Wireless Systems",CMOS SOI,22,28,2.2,,,,,,,,,
APMC,2023,12,Li,A 7-19 GHz CMOS Low Power LNA Using Body Bias and Current-Reuse Technique,CMOS,55,10,3,,,,,,,,,
APMC,2023,12,Chen,A Low Power Wideband Receiver Front End for C/X Band 5G Applications in 90 nm CMOS Technology,CMOS,90,5,2.47,,,,,,,,,Receiver Frontend
APMC,2023,12,Cheng,An Antenna-in-Packaged CMOS Transceiver Array for MU-MIMO Communications,CMOS,90,50,6.8,,,,,,,,,Receiver Frontend
APMC,2023,12,Yoon,A Wideband Low-Noise Amplifier Using High-Pass Filter Structure with Diode Linearizer,CMOS,65,29,2.7,,,,,,,,,
APMC,2023,12,Chen,A Broadband Transmit-Receive Front-End with Three-λ/4-line-based T/R Switch for 5G FR2 Bands,CMOS,65,31,4.61,,,,,,,,,
IEEE ACCESS,2023,12,Song,275 GHz Quadrature Receivers for THz-Band 6G Indoor Network in 130-nm SiGe Technology,SiGe BiCMOS,130,20,20.1,,,,,,,,,Receiver Frontend
IEEE ACCESS,2023,11,Kim,CMOS Variable-Gain Low-Noise Amplifier Adopting Transformer-Based Noise Cancelling Technique for 5G NR FR2 Applications,CMOS,65,27,3.55,,,,,,,,,
BCICTS,2023,10,Gauthier,Low-Noise Si/SiGe HBT for LEO Satellite User Terminals in Ku-Ka Bands,Si/SiGe BiCMOS,55,1.13,1.13,,,,,,,,,Receiver Frontend
BCICTS,2023,10,Hassan,A Wideband Ultra-Low Noise 15–55 GHz Dual-Beam Receive Phased-Array Beamformer with 2.9-4.2 dB NF,SiGe BiCMOS,90,17.5,2.9,,,,,,,,,
BCICTS,2023,10,Vanukuru,Analog/mmWave Circuit Demonstrations in State-of-the-Art SiGe BiCMOS Process for 5G and Optical Transceivers,SiGe BiCMOS,90,18.6,1.32,,,,,,,,,
EuMIC,2023,9,Colzani,K-band Receiver on SiGe BiCMOS Technology for SatCom Phased Array Systems,SiGe BiCMOS,130,18,2.7,,,,,,,,,Receiver Frontend
EuMIC,2023,9,Rack,A Compact 120 GHz LNA in 22 nm FD-SOI with Back-Gate Controllable Variable-Gain,CMOS SOI,22,116,6.1,,,,,,,,,
EuMIC,2023,9,Filippi,A D-Band Low-Noise-Amplifier in SiGe BiCMOS with Broadband Multi-Resonance Matching Networks,SiGe BiCMOS,55,135,5.2,,,,,,,,,
EuMIC,2023,9,Gupta,A Broadband LNA and Sub-Harmonic Mixer Based Multi-Mode RX in 22nm CMOS,CMOS,22,20/29,5/12,,,,,,,,,Receiver Frontend
EuMIC,2023,9,Simoncini,Fully Integrated Built-In Self Test of Millimeter-Wave LNA based on Avalanche Noise Diodes in 130 nm SiGe BiCMOS Technology,SiGe BiCMOS,130,25,3.8,,,,,,,,,
MWTL,2023,10,Jin,A Current-Reused Ultralow-Power IoT LNA With a Robust Linearization Technique,CMOS,65,2.4,3.5,,,,,,,,,
MWTL,2023,10,Liang,High Gain and Low Power K-Band LNA With Reversed Current-Reuse Topology,CMOS,55,22.6,4.04,,,,,,,,,
JSSC,2023,10,Agrawal,A 128-Gb/s D-Band Receiver With Integrated PLL and ADC Achieving 1.95-pJ/b Efficiency in 22-nm FinFET,CMOS FinFET,22,2.5,12.4,,,,,,,,,"Simulation, Receiver Frontend"
JSSC,2023,10,Kim,A Fully Integrated IEEE 802.15.4/4z-Compliant UWB System-on-Chip RF Transceiver Supporting Precision Positioning in a CMOS 28-nm Process,CMOS,28,40,3.5,,,,,,,,,Receiver Frontend
JSSC,2023,10,Fu,A Low-Power 256-Element Ka-Band CMOS Phased-Array Receiver With On-Chip Distributed Radiation Sensors for Small Satellite Constellations,CMOS,65,29,3.6,,,,,,,,,Receiver Frontend
MWTL,2023,9,Kim,A 131–162-GHz Wideband CMOS LNA Using Asymmetric Frequency Responses of Triple-Coupled Transformers,RF CMOS,40,150,6.2,,,,,,,,,
VLSI,2023,9,Huang,A 24–30-GHz Four-Element Phased Array Transceiver With Low Insertion Loss Compact T/R Switch and Bidirectional Phase Shifter for 5G Communication,CMOS,65,26,5.1,,,,,,,,,Receiver Frontend
IMS,2023,6,Urain,A G-Band SiGe BiCMOS LNA With an On-Chip and Compact Temperature Compensation Biasing Circuit,SiGe BiCMOS,130,195,9,,,,,,,,,
IMS,2023,6,Chaubey,A Miniature 10MHz-3GHz Sub 1-dB NF Cryogenic Inductorless Noise-Canceling Low-Noise Amplifier for Qubit Readout,CMOS,40,1.8,0.63,,,,,,,,,
IMS,2023,6,Ghadiri-Sadrabadi,Ku/K-Band Low Power Dual-Channel LNAs With Less Than 1.4dB NF for SATCOM Phased Array Applications,RFSOI,45,"22/11,5","1,4/1,3",,,,,,,,,
IMS,2023,6,Zou,A 74.8-88.8 GHz Wideband CMOS LNA Achieving +4.73 dBm OP1dB and 6.39 dB Minimum NF,CMOS,55,89,6.39,,,,,,,,,
IMS,2023,6,Kim,A 115.7–139.7 GHz Amplifier with 19.7 dB Peak Gain and 7.9 dB NF in 40-nm CMOS,CMOS,40,137,7.9,,,,,,,,,
IMS,2023,6,Moody,A Low Power V-Band LNA with Wide Supply Voltage Range Exploiting Complementary Current Reuse and Power Efficient Bias Point,RFSOI,45,61,4.2,,,,,,,,,
IMS,2023,6,Yuan,A CMOS Low Power K-band FMCW Radar Transceiver Front-End for AIOT Application,CMOS,65,24.5,6.7,,,,,,,,,Receiver Frontend
RFIC,2023,6,Dong,A 140GHz RF Beamforming Phased-Array Receiver Supporting >20dB IRR with 8GHz Channel Bandwidth at Low IF in 22nm FDSOI CMOS,CMOS SOI,22,140,7.5,,,,,,,,,Receiver Frontend
RFIC,2023,6,Andree,A D-Band to J-Band Low-Noise Amplifier with High Gain-Bandwidth Product in an Advanced 130 nm SiGe BiCMOS Technology,SiGe BiCMOS,130,155,8.4,,,,,,,,,
RFIC,2023,6,Landsberg,High-Linearity 76-81 GHz Radar Receiver with an Intermodulation Distortion Cancellation and High-Power Limiter,CMOS FinFET,16,78.5,5.5,,,,,,,,,
RFIC,2023,6,Zhao,A Band-Shifting Millimeter-Wave T/R Front-End with Enhanced Imaging and Interference Rejection Covering 5G NR FR2 n257/n258/n259/n260/n261 Bands,CMOS,28,25/35,"5,1/5,8",,,,,,,,,
RFIC,2023,6,Hu,"A Quad-Band RX Phased-Array Receive Beamformer with Two Simultaneous Beams, Polarization Diversity, and 2.1–2.3 dB NF for C/X/Ku/Ka-Band SATCOM",SiGe BiCMOS,90,10,2.1,,,,,,,,,
RFIC,2023,6,Filippi,A SiGe BiCMOS D-Band LNA with Gain Boosted by Local Feedback in Common-Emitter Transistors,SiGe BiCMOS,55,150,5,,,,,,,,,Beamformer
RFIC,2023,6,Kim,High-Performance Broadband CMOS Low-Noise Amplifier with a Three-Winding Transformer for Broadband Matching,CMOS,65,38,2.2,,,,,,,,,
RFIC,2023,6,Myeong,A 28-GHz 12-dBm IIP3 Low-Noise Amplifier Using Source-Sensed Derivative Superposition of Cascode for Full-Duplex Receivers,CMOS,28,25,3.3,,,,,,,,,
RFIC,2023,6,Kooshkaki,A 0.75 mW Receiver Front-end For NB-IoT,CMOS,65,0.8103,2,,,,,,,,,
RFIC,2023,6,Bardeh,A mm-Wave Wideband/Reconfigurable LNA Using a 3-Winding Transformer Load in 22-nm CMOS SOI,CMOS SOI,22,35,2.3,,,,,,,,,
RFIC,2023,6,Zolkov,A mm-Wave Blocker-Tolerant Receiver Achieving <4 dB NF and −3.5 dBm B1dB in 65-nm CMOS,CMOS,65,26,3.4,,,,,,,,,Receiver Frontend
TCAS,2023,7,Wang,A 2.85-mm2 Wideband RF Transceiver in 40-nm CMOS for IoT Micro-Hub Applications,CMOS,40,5.5,1.3,,,,,,,,,Receiver Frontend
MWTL,2023,7,Chen,Ka-/K-Band Frequency-Reconfigurable Single-Input Differential-Output Low-Noise Amplifier for 5G Applications,CMOS,65,27,2.8,,,,,,,,,
TCAS II,2023,6,Spasaro,0.52-mW 30-GHz LNA in 22-nm FDSOI CMOS,CMOS SOI,22,31,5.8,,,,,,,,,
MWTL,2023,6,Hu,A 27.5–46.2-GHz Broadband Low Noise Amplifier With IP3 Enhancement,CMOS SOI,45,27.8,2.1,,,,,,,,,
MWTL,2023,6,Smirnova,Ultralow-Power W-Band Low-Noise Amplifier Design in 130-nm SiGe BiCMOS,SiGe BiCMOS,130,100,4,,,,,,,,,
VLSI,2023,6,Pu,A Tri-Mode Reconfigurable Receiver for GNSS/NB-IoT/BLE With 68-dB HR3 and 60-dB IMRR in 28-nm CMOS,CMOS,28,"0,8/1,2/1,6/2,4","2,8/3,1/3,3/3,9",,,,,,,,,Receiver Frontend
MWTL,2023,5,Feng,A 0.5-V 0.88-mW Low Noise Amplifier With Active and Passive Gm Enhancements in Sub-6 GHz Band,CMOS,180,5.8,3.2,,,,,,,,,
TCAS II,2023,5,Wang,A 1.46–1.96-dB-NF 2.1–5.2-GHz Wideband Passive Balun LNA in 22-nm CMOS,CMOS,22,4,1.46,,,,,,,,,
VLSI,2023,5,Rena,"0.4-1 GHz Subsampling Mixer-First RF Front-End With 50-dB HRR, +10-dBm IB-IIP3 in 65-nm CMOS",CMOS,65,0.65,6.5,,,,,,,,,Receiver Frontend
MWTL,2023,5,Dong,A 0.4-to-30 GHz CMOS Low Noise Amplifier With Input-Referred Noise Reduction and Coupled-Inductive-Peaking Technique,CMOS,55,5,2.5,,,,,,,,,
TCAS,2023,5,Zou,A 6–12 GHz Wideband Low-Noise Amplifier With 0.8–1.5 dB NF and ±0.75 dB Ripple Enabled by the Capacitor Assisting Triple-Winding Transformer,CMOS SOI,130,8.5,0.8,,,,,,,,,
MWTL,2023,5,Lim,An In-Band Full-Duplex Low Noise Amplifier Integrated With an Electrical Balance Duplexer Without Explicit Matching,CMOS,65,15,5.33,,,,,,,,,
JSSC,2023,4,Singh,Design Aspects of Single-Ended and Differential SiGe Low-Noise Amplifiers Operating Above fmax/2in Sub-THz/THz Frequencies,SiGe BiCMOS,130,235,11,,,,,,,,,
IEEE ACCESS,2023,3,Najmussadat,220-240-GHz High-Gain Phase Shifter Chain and Power Amplifier for Scalable Large Phased-Arrays,SiGe BiCMOS,130,237,11.7,,,,,,,,,
VLSI,2023,3,Shams,An OOK and Binary FSK Reconfigurable Dual-Band Noncoherent IR-UWB Receiver Supporting Ternary Signaling,CMOS,130,2.8,5.9,,,,,,,,,
JSSC,2023,1,Li,A 220-GHz Sliding-IF Quadrature Transmitter and Receiver Chipset for High Data Rate Communication in 0.13-µm SiGe BiCMOS,SiGe BiCMOS,130,212,9,,,,,,,,,Receiver Frontend
TCAS II,2023,1,Kim,A 2.4 GHz Reconfigurable Cascode/Folded-Cascode Inductive Source Degenerated LNA With Enhanced OP1dB and OIP3 Over Gain Reduction,CMOS,130,2.3,1.11,,,,,,,,,
JSSC,2023,1,Li,A 39-GHz CMOS Bidirectional Doherty Phased- Array Beamformer Using Shared-LUT DPD With Inter-Element Mismatch Compensation Technique for 5G Base Station,CMOS,65,40,4.8,,,,,,,,,
TCAS II,2023,1,Lim,Bulk CMOS Low Noise Amplifier With Two Stage HPF Noise Matching Structure,CMOS,180,3.95,2.23,,,,,,,,,
MWTL,2023,1,Lee,Frequency-Reconfigurable Dual-Band Low-Noise Amplifier With Interstage Gm-Boosting for Millimeter-Wave 5G Communication,CMOS,65,28.5,2.79,,,,,,,,,
